Dates;Title;Start Time;End Time;Location
10/02/2024;アニメーニアックス (Animaniacs);8:00;11:00;Broadcast Station
10/02/2024;Ｆ－ＺＥＲＯ;11:00;14:00;Broadcast Station
10/02/2024;Ｌｅｔ’ｓパチンコなんて銀玉１ (Let's Pachinko #1);14:00;17:00;Broadcast Station
10/02/2024;ハイパーゾーン (HyperZone);17:00;20:00;Broadcast Station
10/02/2024;ロボコップＶＳ．ターミネーター (RoboCop Vs. Terminator);20:00;23:00;Broadcast Station
10/02/2024;毎日バスターズ　【６月７】 (Daily Busters [6/7]);8:00;23:00;News Building
10/02/2024;スーパーベーセズローデッド (Super Bases Loaded);11:00;23:00;Stadium
10/02/2024;ファイナルファンタジーⅣ (Final Fantasy IV);8:00;20:00;Bagpotamia Temple
10/02/2024;サテ坊のワードゲーム (Satebou's Word Game);8:00;23:00;Calculator Shop
10/02/2024;ＢＳスーパークックド (BS SuperCooked!);8:00;23:00;Burger Shop
10/02/2024;ソニック・ザ・ヘッジホッグ (Sonic The Hedgehog);8:00;23:00;Robot Tower
