Dates;Title;Start Time;End Time;Location
09/01/2024;デザエモンBSX (Dezaemon BS-X);8:00;11:00;Broadcast Station
09/01/2024;ワリオとマリオ (Wario and Mario);11:00;14:00;Broadcast Station
09/01/2024;アルカノイド (Arkanoid – Doh it Again!);14:00;17:00;Broadcast Station
09/01/2024;ワイルドガンズ (Wild Guns);17:00;20:00;Broadcast Station
09/01/2024;ジョーとマック (Joe & Mac);20:00;23:00;Broadcast Station
09/01/2024;街マガジン (Machi Magazine);8:00;23:00;News Building
09/01/2024;スーパーピンボール (Super Pinball);11:00;23:00;Stadium
09/01/2024;悪魔城ドラキュラ (Super Castlevania Ⅳ);8:00;20:00;Bagpotamia Temple
09/01/2024;サテ坊のワードゲーム (Satebou's Word Game);8:00;23:00;Burger Shop
09/02/2024;ヨッシーのクッキー (Yoshi's Cookie);8:00;11:00;Broadcast Station
09/02/2024;ＶＳ．コレクション (VS. Collection);11:00;14:00;Broadcast Station
09/02/2024;フロッガー (Frogger);14:00;17:00;Broadcast Station
09/02/2024;ペーパーボーイ２ (Paperboy 2);17:00;20:00;Broadcast Station
09/02/2024;シムシティ 【小売版】 (SimCity [Retail ver.]);20:00;23:00;Broadcast Station
09/02/2024;フロイドの挑戦状　―　第1号 (Freud's challenge – Vol. 1);8:00;23:00;News Building
09/02/2024;マイクロ・マシンズ (Micro Machines);11:00;23:00;Stadium
09/02/2024;サテ坊のワードゲーム (Satebou's Word Game);8:00;23:00;Burger Shop
09/02/2024;スファミテストカセットD (Super Famicom Test Cartridge D);8:00;23:00;Robot Tower
09/03/2024;パネルでポン　’９８イベント版 (Panel de Pon: '98 Event Version);8:00;11:00;Broadcast Station
09/03/2024;F-ZERO;11:00;14:00;Broadcast Station
09/03/2024;カービィのおもちゃ箱：　野球 (Kirby's Toybox: Baseball);14:00;17:00;Broadcast Station
09/03/2024;テトリス 【小売版】 (Tetris [Retail Ver.]);17:00;20:00;Broadcast Station
09/03/2024;ゼルダの伝説：神々のトライフォース (Legend of Zelda: Triforce of the Gods);20:00;23:00;Broadcast Station
09/03/2024;フロイドの挑戦状　―　第2号 (Freud's challenge – Vol. 2);8:00;23:00;News Building
09/03/2024;F-1ポールポジション (F-1 Pole Position);11:00;23:00;Stadium
09/03/2024;サテ坊のワードゲーム (Satebou's Word Game);8:00;23:00;Calculator Building
09/03/2024;エキサイトバイク：ブンブンマリオバトル【SLなし】 (Excitebike: Mario VS. Stadium [Without SoundLink]);8:00;23:00;Telephone Booth
09/03/2024;ＢＳスーパークックド (BS SuperCooked!);8:00;23:00;Burger Shop
09/04/2024;マリオペイントBS版 (BS Mario Paint);8:00;11:00;Broadcast Station
09/04/2024;シム蟻 (SimAnt);11:00;14:00;Broadcast Station
09/04/2024;スーパー忍者君 (Super Ninja Kun);14:00;17:00;Broadcast Station
09/04/2024;バウンティー・ソード BS版 (BS Bounty Sword);17:00;20:00;Broadcast Station
09/04/2024;シュアーインスティンクト (Sure Instinct);20:00;23:00;Broadcast Station
09/04/2024;デジタルマガジンバスターズ　５月１０日号 (Digital Magazine Busters 5/10 Edition);8:00;23:00;News Building
09/04/2024;ジョージフォーマンのK.O.ボクシング (George Foreman's K.O. Boxing);11:00;23:00;Stadium
09/04/2024;ウィザードリィⅤ：災渦の中心 (Wizardry V: Heart of the Maelstrom);8:00;20:00;Bagpotamia Temple
09/04/2024;サテ坊のワードゲーム (Satebou's Word Game);8:00;23:00;Calculator Building
09/04/2024;Keep SNES Alive!!;8:00;23:00;Robot Tower
09/04/2024;ＢＳスーパークックド (BS SuperCooked!);8:00;23:00;Burger Shop
09/05/2024;ダイナマイ・トレーサー (Dynami Tracer [EN]);8:00;14:00;Broadcast Station
09/05/2024;すってはっくん (Sutte Hakkun);14:00;20:00;Broadcast Station
09/05/2024;アーケードのベストゲーム：ATARIのコレクション　第1号 (Arcade's Greatest Hits: Atari Collection Vol. 1);20:00;23:00;Broadcast Station
09/05/2024;ＢＳニンテンドーＨＰ　【５月３１】 (BS Nintendo HP [5/31]);8:00;23:00;News Building
09/05/2024;スーパーベーセズローデド (Super Bases Loaded);11:00;23:00;Stadium
09/05/2024;ラグーン (Lagoon);8:00;20:00;Bagpotamia Temple
09/05/2024;サテ坊のワードゲーム (Satebou's Word Game);8:00;23:00;Calculator Building
09/05/2024;ワイワイチェック　【１１月２２】 (WaiWai Check [11/22] [EN]);8:00;23:00;Telephone Booth
09/05/2024;ＢＳスーパークックド (BS SuperCooked!);8:00;23:00;Burger Shop
09/06/2024;スーパー倉庫番 (Super Sōkoban);8:00;11:00;Broadcast Station
09/06/2024;タモリのピクロス 【６月３】 (Tamori no Picross [6/3]);11:00;14:00;Broadcast Station
09/06/2024;カービィのおもちゃ箱：　キャノンボール (Kirby's Toybox: Cannon Ball);14:00;17:00;Broadcast Station
09/06/2024;ヨッシーのパネポン　【１月２】 (Yoshi's Tetris Attack [1/2]);17:00;20:00;Broadcast Station
